"HALTESTELLEN_ID";"TYP";"DIVA";"NAME";"GEMEINDE";"GEMEINDE_ID";"WGS84_LAT";"WGS84_LON";"STAND"
214460106;"stop";60200001;"Absberggasse";"Wien";90000;48.1738001480236;16.3898043925363;""
214460107;"stop";60200002;"Achengasse";"Wien";90000;48.2845264725406;16.4488980597136;""
214460108;"stop";60200003;"Ada-Christen-Gasse";"Wien";90000;48.1528655014217;16.3859521681894;""
214460109;"stop";60200004;"Adam-Betz-Gasse";"Wien";90000;48.2156118109229;16.5351904402337;""
214460110;"stop";60200005;"Adamovichgasse";"Wien";90000;48.1421652461723;16.3378367458808;""
214460111;"stop";60200006;"Adolf-Loos-Gasse";"Wien";90000;48.2776144403449;16.4542045453;""
214460112;"stop";60200007;"Adolf-Unger-Gasse";"Wien";90000;48.148674649638;16.3858809177188;""
214460113;"stop";60200008;"Afritschgasse";"Wien";90000;48.2469593441929;16.4517372664397;""
214460114;"stop";60200009;"Agavenweg";"Wien";90000;48.2510720280412;16.5071982136791;""
214460115;"stop";60200010;"Agnesgasse";"Wien";90000;48.2504313192819;16.3075968062479;""
214460116;"stop";60200011;"Aignerstraße";"Wien";90000;48.2461115825284;16.3749749447243;""
214460117;"stop";60200012;"Auf der Schmelz";"Wien";90000;48.2035247270237;16.3166499725874;""
214460118;"stop";60200013;"Morzinplatz";"Wien";90000;48.2131157434495;16.3744924872232;""
214460119;"stop";60200014;"Alaudagasse";"Wien";90000;48.1542610381444;16.3821767869358;""
214460120;"stop";60200015;"Albern Sendnergasse";"Wien";90000;48.1600375826815;16.484931367348;""
214460121;"stop";60200016;"Alberner Hafen";"Wien";90000;48.1584957554371;16.4946316270806;""
214460122;"stop";60200017;"Alberner Hafenzufahrtsstraße";"Wien";90000;48.1720950446652;16.4724758507966;""
214460123;"stop";60200018;"Alberner Straße";"Wien";90000;48.1561799399821;16.4845573102145;""
214460124;"stop";60200019;"Albertgasse";"Wien";90000;48.2106037811822;16.3438937938373;""
214460125;"stop";60200020;"Albertinaplatz";"Wien";90000;48.2046998769998;16.3687011896039;""
214460126;"stop";60200021;"Carminweg";"Wien";90000;48.2531823773567;16.4210617474287;""
